Month,Year,Postcode,# of Bonds
April,2018,2299,69
April,2018,2300,102
April,2018,2302,14
April,2018,2303,28
April,2018,2304,64
April,2018,2305,35
April,2018,2306,4
April,2018,2307,24
April,2018,2311,1
April,2018,2312,4
April,2018,2315,49
April,2018,2316,8
April,2018,2317,15
April,2018,2318,20
April,2018,2319,15
April,2018,2320,92
April,2018,2321,45
April,2018,2322,62
April,2018,2323,61
April,2018,2324,69
April,2018,2325,60
April,2018,2326,10
April,2018,2327,24
April,2018,2328,4
April,2018,2329,8
April,2018,2330,63
April,2018,2333,59
April,2018,2334,9
April,2018,2335,24
April,2018,2336,7
April,2018,2337,18
April,2018,2338,3
April,2018,2340,185
April,2018,2341,6
April,2018,2343,12
April,2018,2345,1
April,2018,2346,7
April,2018,2347,7
April,2018,2350,85
April,2018,2352,6
April,2018,2354,5
April,2018,2355,1
April,2018,2357,10
April,2018,2358,7
April,2018,2359,4
April,2018,2360,45
April,2018,2361,1
April,2018,2365,12
April,2018,2369,1
April,2018,2370,41
April,2018,2372,15
April,2018,2380,57
April,2018,2381,1
April,2018,2382,12
April,2018,2388,4
April,2018,2390,38
April,2018,2396,2
April,2018,2399,1
April,2018,2400,54
April,2018,2402,8
April,2018,2404,4
April,2018,2405,1
April,2018,2406,7
April,2018,2408,1
April,2018,2420,7
April,2018,2421,1
April,2018,2422,19
April,2018,2423,7
April,2018,2425,2
April,2018,2426,2
April,2018,2427,10
April,2018,2428,98
April,2018,2429,14
April,2018,2430,99
April,2018,2431,13
April,2018,2439,4
April,2018,2440,33
April,2018,2441,7
April,2018,2443,20
April,2018,2444,192
April,2018,2445,11
April,2018,2446,33
April,2018,2447,10
April,2018,2448,25
April,2018,2449,1
April,2018,2450,158
April,2018,2452,40
April,2018,2453,3
April,2018,2454,11
April,2018,2455,2
April,2018,2456,53
April,2018,2460,71
April,2018,2462,5
April,2018,2463,23
April,2018,2464,31
April,2018,2466,1
April,2018,2470,41
April,2018,2471,3
April,2018,2472,5
April,2018,2473,11
April,2018,2474,11
April,2018,2476,2
April,2018,2477,15
April,2018,2478,90
April,2018,2479,15
April,2018,2480,108
April,2018,2481,34
April,2018,2482,15
April,2018,2483,23
April,2018,2484,34
April,2018,2485,49
April,2018,2486,41
April,2018,2487,42
April,2018,2488,13
April,2018,2489,12
April,2018,2500,206
April,2018,2502,31
April,2018,2505,13
April,2018,2506,11
April,2018,2508,9
April,2018,2515,28
April,2018,2516,9
April,2018,2517,21
April,2018,2518,44
April,2018,2519,34
April,2018,2520,1
April,2018,2525,19
April,2018,2526,18
April,2018,2527,32
April,2018,2528,42
April,2018,2529,49
April,2018,2530,52
April,2018,2533,20
April,2018,2534,14
April,2018,2535,13
April,2018,2536,54
April,2018,2537,13
April,2018,2538,5
April,2018,2539,36
April,2018,2540,97
April,2018,2541,80
April,2018,2546,23
April,2018,2548,35
April,2018,2549,5
April,2018,2550,24
April,2018,2551,10
April,2018,2556,3
April,2018,2557,56
April,2018,2558,22
April,2018,2559,10
April,2018,2560,248
April,2018,2564,21
April,2018,2565,62
April,2018,2566,51
April,2018,2567,90
April,2018,2569,3
April,2018,2570,145
April,2018,2571,12
April,2018,2572,6
April,2018,2573,23
April,2018,2574,6
April,2018,2575,28
April,2018,2576,39
April,2018,2577,29
April,2018,2578,6
April,2018,2579,5
April,2018,2580,76
April,2018,2581,3
April,2018,2582,22
April,2018,2583,5
April,2018,2586,3
April,2018,2587,2
April,2018,2590,9
April,2018,2594,27
April,2018,2618,1
April,2018,2619,3
April,2018,2620,111
April,2018,2621,8
April,2018,2622,6
April,2018,2623,1
April,2018,2625,1
April,2018,2627,18
April,2018,2628,8
April,2018,2630,27
April,2018,2631,1
April,2018,2632,3
April,2018,2640,170
April,2018,2641,76
April,2018,2642,6
April,2018,2643,6
April,2018,2644,1
April,2018,2646,20
April,2018,2647,3
April,2018,2648,2
April,2018,2650,216
April,2018,2651,11
April,2018,2652,4
April,2018,2653,3
April,2018,2655,3
April,2018,2656,3
April,2018,2658,3
April,2018,2660,1
April,2018,2663,35
April,2018,2665,1
April,2018,2666,14
April,2018,2668,1
April,2018,2671,10
April,2018,2672,5
April,2018,2675,3
April,2018,2680,68
April,2018,2681,2
April,2018,2700,19
April,2018,2703,2
April,2018,2705,16
April,2018,2706,1
April,2018,2707,2
April,2018,2710,25
April,2018,2711,9
April,2018,2712,3
April,2018,2713,4
April,2018,2714,3
April,2018,2715,4
April,2018,2717,2
April,2018,2720,13
April,2018,2722,2
April,2018,2725,1
April,2018,2729,1
April,2018,2730,4
April,2018,2731,17
April,2018,2732,6
April,2018,2737,1
April,2018,2738,3
April,2018,2739,6
April,2018,2745,59
April,2018,2747,163
April,2018,2748,1
April,2018,2749,23
April,2018,2750,315
April,2018,2752,6
April,2018,2753,36
April,2018,2754,12
April,2018,2756,70
April,2018,2757,2
April,2018,2758,5
April,2018,2759,39
April,2018,2760,131
April,2018,2761,73
April,2018,2762,79
April,2018,2763,67
April,2018,2765,61
April,2018,2766,28
April,2018,2767,31
April,2018,2768,34
April,2018,2769,26
April,2018,2770,138
April,2018,2773,12
April,2018,2774,13
April,2018,2775,3
April,2018,2776,2
April,2018,2777,19
April,2018,2778,2
April,2018,2779,6
April,2018,2780,48
April,2018,2782,13
April,2018,2783,3
April,2018,2784,5
April,2018,2785,19
April,2018,2786,4
April,2018,2787,3
April,2018,2790,39
April,2018,2794,18
April,2018,2795,115
April,2018,2798,1
April,2018,2799,13
April,2018,2800,137
April,2018,2804,6
April,2018,2820,23
April,2018,2821,7
April,2018,2823,2
April,2018,2824,6
April,2018,2825,5
April,2018,2827,5
April,2018,2828,2
April,2018,2829,3
April,2018,2830,165
April,2018,2832,3
April,2018,2833,2
April,2018,2834,4
April,2018,2835,20
April,2018,2836,2
April,2018,2840,4
April,2018,2843,5
April,2018,2844,6
April,2018,2845,2
April,2018,2847,3
April,2018,2848,6
April,2018,2849,1
April,2018,2850,69
April,2018,2852,1
April,2018,2864,1
April,2018,2865,1
April,2018,2866,2
April,2018,2868,1
April,2018,2869,2
April,2018,2870,43
April,2018,2871,42
April,2018,2874,1
April,2018,2877,5
April,2018,2878,1
April,2018,2880,49
April,2019,2000,472
April,2019,2007,56
April,2019,2008,194
April,2019,2009,123
April,2019,2010,282
April,2019,2011,272
April,2019,2015,93
April,2019,2016,127
April,2019,2017,255
April,2019,2018,141
April,2019,2019,50
April,2019,2020,159
April,2019,2021,124
April,2019,2022,90
April,2019,2023,47
April,2019,2024,53
April,2019,2025,32
April,2019,2026,259
April,2019,2027,55
April,2019,2028,32
April,2019,2029,50
April,2019,2030,32
April,2019,2031,189
April,2019,2032,101
April,2019,2033,92
April,2019,2034,134
April,2019,2035,150
April,2019,2036,111
April,2019,2037,138
April,2019,2038,39
April,2019,2039,63
April,2019,2040,136
April,2019,2041,90
April,2019,2042,126
April,2019,2043,88
April,2019,2044,32
April,2019,2045,12
April,2019,2046,106
April,2019,2047,49
April,2019,2048,72
April,2019,2049,73
April,2019,2050,70
April,2019,2060,118
April,2019,2061,64
April,2019,2062,37
April,2019,2063,31
April,2019,2064,42
April,2019,2065,209
April,2019,2066,192
April,2019,2067,190
April,2019,2068,49
April,2019,2069,39
April,2019,2070,26
April,2019,2071,41
April,2019,2072,44
April,2019,2073,25
April,2019,2074,35
April,2019,2075,39
April,2019,2076,35
April,2019,2077,203
April,2019,2079,23
April,2019,2080,2
April,2019,2081,8
April,2019,2082,6
April,2019,2083,2
April,2019,2084,6
April,2019,2085,17
April,2019,2086,23
April,2019,2087,25
April,2019,2088,127
April,2019,2089,111
April,2019,2090,73
April,2019,2092,18
April,2019,2093,75
April,2019,2094,26
April,2019,2095,126
April,2019,2096,74
April,2019,2097,38
April,2019,2099,176
April,2019,2100,40
April,2019,2101,72
April,2019,2102,21
April,2019,2103,24
April,2019,2104,2
April,2019,2105,2
April,2019,2106,36
April,2019,2107,27
April,2019,2108,6
April,2019,2110,26
April,2019,2111,64
April,2019,2112,234
April,2019,2113,142
April,2019,2114,161
April,2019,2115,40
April,2019,2116,22
April,2019,2117,63
April,2019,2118,112
April,2019,2119,17
April,2019,2120,37
April,2019,2121,129
April,2019,2122,109
April,2019,2125,19
April,2019,2126,29
April,2019,2127,196
April,2019,2128,17
April,2019,2130,66
April,2019,2131,137
April,2019,2132,26
April,2019,2133,39
April,2019,2134,114
April,2019,2135,112
April,2019,2136,35
April,2019,2137,152
April,2019,2138,138
April,2019,2140,175
April,2019,2141,93
April,2019,2142,142
April,2019,2143,30
April,2019,2144,176
April,2019,2145,347
April,2019,2146,68
April,2019,2147,88
April,2019,2148,251
April,2019,2150,334
April,2019,2151,121
April,2019,2152,50
April,2019,2153,132
April,2019,2154,107
April,2019,2155,196
April,2019,2156,10
April,2019,2157,5
April,2019,2158,9
April,2019,2159,2
April,2019,2160,142
April,2019,2161,97
April,2019,2162,54
April,2019,2163,32
April,2019,2164,43
April,2019,2165,168
April,2019,2166,152
April,2019,2167,25
April,2019,2168,71
April,2019,2170,438
April,2019,2171,54
April,2019,2172,1
April,2019,2173,31
April,2019,2174,52
April,2019,2175,2
April,2019,2176,59
April,2019,2177,18
April,2019,2178,11
April,2019,2179,26
April,2019,2190,36
April,2019,2191,7
April,2019,2192,58
April,2019,2193,78
April,2019,2194,129
April,2019,2195,147
April,2019,2196,90
April,2019,2197,17
April,2019,2198,16
April,2019,2199,47
April,2019,2200,170
April,2019,2203,112
April,2019,2204,124
April,2019,2205,156
April,2019,2206,36
April,2019,2207,55
April,2019,2208,23
April,2019,2209,26
April,2019,2210,80
April,2019,2211,39
April,2019,2212,39
April,2019,2213,52
April,2019,2214,4
April,2019,2216,125
April,2019,2217,115
April,2019,2218,42
April,2019,2219,44
April,2019,2220,133
April,2019,2221,18
April,2019,2222,58
April,2019,2223,68
April,2019,2224,29
April,2019,2225,4
April,2019,2226,27
April,2019,2227,35
April,2019,2228,68
April,2019,2229,73
April,2019,2230,160
April,2019,2231,3
April,2019,2232,105
April,2019,2233,22
April,2019,2234,27
April,2019,2250,181
April,2019,2251,46
April,2019,2256,47
April,2019,2257,103
April,2019,2258,11
April,2019,2259,133
April,2019,2260,78
April,2019,2261,161
April,2019,2262,54
April,2019,2263,86
April,2019,2264,47
April,2019,2265,10
April,2019,2267,4
April,2019,2278,2
April,2019,2280,57
April,2019,2281,25
April,2019,2282,26
April,2019,2283,48
April,2019,2284,27
April,2019,2285,57
April,2019,2286,9
April,2019,2287,122
April,2019,2289,64
April,2019,2290,76
April,2019,2291,49
April,2019,2292,14
April,2019,2293,15
April,2019,2294,9
April,2019,2295,22
April,2019,2296,17
April,2019,2297,6
April,2019,2298,46
April,2019,2299,60
April,2019,2300,138
April,2019,2302,8
April,2019,2303,37
April,2019,2304,64
April,2019,2305,38
April,2019,2306,9
April,2019,2307,28
April,2019,2311,2
April,2019,2312,2
April,2019,2315,42
April,2019,2316,8
April,2019,2317,11
April,2019,2318,32
April,2019,2319,14
April,2019,2320,86
April,2019,2321,45
April,2019,2322,58
April,2019,2323,72
April,2019,2324,42
April,2019,2325,62
April,2019,2326,15
April,2019,2327,20
April,2019,2328,6
April,2019,2329,6
April,2019,2330,58
April,2019,2333,66
April,2019,2334,9
April,2019,2335,27
April,2019,2336,6
April,2019,2337,24
April,2019,2338,3
April,2019,2339,2
April,2019,2340,186
April,2019,2341,6
April,2019,2343,12
April,2019,2345,1
April,2019,2346,9
April,2019,2347,6
April,2019,2350,106
April,2019,2352,7
April,2019,2353,1
April,2019,2354,4
April,2019,2355,1
April,2019,2357,8
April,2019,2358,9
April,2019,2359,1
April,2019,2360,50
April,2019,2365,4
April,2019,2370,26
April,2019,2371,1
April,2019,2372,14
April,2019,2380,55
April,2019,2381,2
April,2019,2382,8
April,2019,2388,6
April,2019,2390,20
April,2019,2400,45
April,2019,2402,7
April,2019,2403,1
April,2019,2404,8
April,2019,2406,8
April,2019,2408,1
April,2019,2409,1
April,2019,2420,7
April,2019,2421,2
April,2019,2422,16
April,2019,2423,2
April,2019,2427,14
April,2019,2428,96
April,2019,2429,13
April,2019,2430,99
April,2019,2431,16
April,2019,2439,5
April,2019,2440,43
April,2019,2441,6
April,2019,2443,22
April,2019,2444,216
April,2019,2445,17
April,2019,2446,32
April,2019,2447,17
April,2019,2448,27
April,2019,2449,3
April,2019,2450,152
April,2019,2452,28
April,2019,2453,6
April,2019,2454,15
April,2019,2455,13
April,2019,2456,45
April,2019,2460,65
April,2019,2462,7
April,2019,2463,19
April,2019,2464,28
April,2019,2465,1
April,2019,2466,9
April,2019,2469,4
April,2019,2470,29
April,2019,2471,3
April,2019,2472,6
April,2019,2473,20
April,2019,2474,20
April,2019,2477,21
April,2019,2478,95
April,2019,2479,15
April,2019,2480,106
April,2019,2481,47
April,2019,2482,26
April,2019,2483,27
April,2019,2484,35
April,2019,2485,65
April,2019,2486,66
April,2019,2487,60
April,2019,2488,9
April,2019,2489,14
April,2019,2490,3
April,2019,2500,265
April,2019,2502,35
April,2019,2505,17
April,2019,2506,10
April,2019,2508,13
April,2019,2515,18
April,2019,2516,5
April,2019,2517,24
April,2019,2518,46
April,2019,2519,41
April,2019,2525,19
April,2019,2526,11
April,2019,2527,33
April,2019,2528,66
April,2019,2529,82
April,2019,2530,59
April,2019,2533,40
April,2019,2534,12
April,2019,2535,17
April,2019,2536,73
April,2019,2537,31
April,2019,2538,2
April,2019,2539,55
April,2019,2540,113
April,2019,2541,90
April,2019,2545,7
April,2019,2546,25
April,2019,2548,44
April,2019,2549,8
April,2019,2550,33
April,2019,2551,8
April,2019,2556,3
April,2019,2557,60
April,2019,2558,20
April,2019,2559,4
April,2019,2560,240
April,2019,2564,27
April,2019,2565,93
April,2019,2566,56
April,2019,2567,75
April,2019,2570,164
April,2019,2571,18
April,2019,2572,10
April,2019,2573,17
April,2019,2574,12
April,2019,2575,38
April,2019,2576,24
April,2019,2577,31
April,2019,2578,6
April,2019,2579,8
April,2019,2580,103
April,2019,2581,1
April,2019,2582,10
April,2019,2583,5
April,2019,2585,1
April,2019,2586,6
April,2019,2587,4
April,2019,2590,13
April,2019,2594,30
April,2019,2618,1
April,2019,2619,14
April,2019,2620,119
April,2019,2621,10
April,2019,2622,8
April,2019,2623,1
April,2019,2627,17
April,2019,2628,1
April,2019,2630,40
April,2019,2631,1
April,2019,2632,2
April,2019,2640,136
April,2019,2641,71
April,2019,2642,4
April,2019,2643,2
April,2019,2644,4
April,2019,2646,11
April,2019,2647,6
April,2019,2648,3
April,2019,2649,1
April,2019,2650,194
April,2019,2651,5
April,2019,2653,9
April,2019,2655,2
April,2019,2658,1
April,2019,2660,3
April,2019,2663,9
April,2019,2665,4
April,2019,2666,7
April,2019,2669,2
April,2019,2671,8
April,2019,2672,2
April,2019,2675,9
April,2019,2680,63
April,2019,2681,1
April,2019,2700,19
April,2019,2701,1
April,2019,2705,15
April,2019,2706,1
April,2019,2707,2
April,2019,2710,35
April,2019,2711,6
April,2019,2712,6
April,2019,2713,7
April,2019,2714,5
April,2019,2715,2
April,2019,2717,2
April,2019,2720,31
April,2019,2722,16
April,2019,2730,2
April,2019,2731,6
April,2019,2732,5
April,2019,2735,1
April,2019,2736,1
April,2019,2737,1
April,2019,2738,6
April,2019,2739,1
April,2019,2745,60
April,2019,2747,205
April,2019,2748,1
April,2019,2749,30
April,2019,2750,217
April,2019,2752,9
April,2019,2753,44
April,2019,2754,14
April,2019,2756,63
April,2019,2757,2
April,2019,2758,11
April,2019,2759,42
April,2019,2760,171
April,2019,2761,81
April,2019,2762,79
April,2019,2763,75
April,2019,2765,121
April,2019,2766,33
April,2019,2767,66
April,2019,2768,46
April,2019,2769,30
April,2019,2770,175
April,2019,2773,9
April,2019,2774,11
April,2019,2775,1
April,2019,2776,1
April,2019,2777,25
April,2019,2778,3
April,2019,2779,9
April,2019,2780,48
April,2019,2782,7
April,2019,2783,4
April,2019,2784,1
April,2019,2785,15
April,2019,2786,3
April,2019,2787,11
April,2019,2790,30
April,2019,2794,20
April,2019,2795,122
April,2019,2797,1
April,2019,2798,3
April,2019,2799,15
April,2019,2800,133
April,2019,2804,7
April,2019,2807,2
April,2019,2810,3
April,2019,2820,22
April,2019,2821,1
April,2019,2824,7
April,2019,2825,7
April,2019,2827,8
April,2019,2828,1
April,2019,2829,4
April,2019,2830,150
April,2019,2831,1
April,2019,2832,4
April,2019,2833,3
April,2019,2834,9
April,2019,2835,25
April,2019,2839,1
April,2019,2840,8
April,2019,2843,3
April,2019,2845,3
April,2019,2846,1
April,2019,2847,4
April,2019,2848,7
April,2019,2849,4
April,2019,2850,66
April,2019,2852,2
April,2019,2865,1
April,2019,2866,4
April,2019,2867,1
April,2019,2869,3
April,2019,2870,28
April,2019,2871,26
April,2019,2875,1
April,2019,2877,5
April,2019,2880,34
April,2020,2000,353
April,2020,2007,53
April,2020,2008,151
April,2020,2009,105
April,2020,2010,261
April,2020,2011,212
April,2020,2015,78
April,2020,2016,97
April,2020,2017,355
April,2020,2018,112
April,2020,2019,42
April,2020,2020,155
April,2020,2021,110
April,2020,2022,87
April,2020,2023,25
April,2020,2024,52
April,2020,2025,27
April,2020,2026,221
April,2020,2027,42
April,2020,2028,24
April,2020,2029,43
April,2020,2030,30
April,2020,2031,154
April,2020,2032,66
April,2020,2033,63
April,2020,2034,108
April,2020,2035,121
April,2020,2036,157
April,2020,2037,187
April,2020,2038,39
April,2020,2039,53
April,2020,2040,94
April,2020,2041,59
April,2020,2042,150
April,2020,2043,69
April,2020,2044,29
April,2020,2045,19
April,2020,2046,79
April,2020,2047,52
April,2020,2048,46
April,2020,2049,54
April,2020,2050,66
April,2020,2060,126
April,2020,2061,51
April,2020,2062,27
April,2020,2063,19
April,2020,2064,37
April,2020,2065,205
April,2020,2066,104
April,2020,2067,103
April,2020,2068,29
April,2020,2069,22
April,2020,2070,32
April,2020,2071,24
April,2020,2072,24
April,2020,2073,21
April,2020,2074,33
April,2020,2075,28
April,2020,2076,34
April,2020,2077,161
April,2020,2079,18
April,2020,2080,1
April,2020,2081,5
April,2020,2082,4
April,2020,2083,6
April,2020,2084,2
April,2020,2085,10
April,2020,2086,21
April,2020,2087,15
April,2020,2088,92
April,2020,2089,81
April,2020,2090,68
April,2020,2092,16
April,2020,2093,62
April,2020,2094,23
April,2020,2095,141
April,2020,2096,69
April,2020,2097,43
April,2020,2099,173
April,2020,2100,42
April,2020,2101,49
April,2020,2102,12
April,2020,2103,29
April,2020,2104,5
April,2020,2106,25
April,2020,2107,38
April,2020,2108,6
April,2020,2110,9
April,2020,2111,59
April,2020,2112,174
April,2020,2113,225
April,2020,2114,117
April,2020,2115,36
April,2020,2116,13
April,2020,2117,39
April,2020,2118,87
April,2020,2119,21
April,2020,2120,26
April,2020,2121,106
April,2020,2122,95
April,2020,2125,10
April,2020,2126,15
April,2020,2127,242
April,2020,2128,7
April,2020,2130,35
April,2020,2131,120
April,2020,2132,27
April,2020,2133,29
April,2020,2134,115
April,2020,2135,111
April,2020,2136,18
April,2020,2137,98
April,2020,2138,119
April,2020,2140,162
April,2020,2141,131
April,2020,2142,129
April,2020,2143,29
April,2020,2144,103
April,2020,2145,299
April,2020,2146,59
April,2020,2147,57
April,2020,2148,258
April,2020,2150,263
April,2020,2151,71
April,2020,2152,43
April,2020,2153,90
April,2020,2154,58
April,2020,2155,186
April,2020,2156,8
April,2020,2157,4
April,2020,2158,9
April,2020,2159,1
April,2020,2160,160
April,2020,2161,97
April,2020,2162,45
April,2020,2163,32
April,2020,2164,34
April,2020,2165,131
April,2020,2166,137
April,2020,2167,11
April,2020,2168,65
April,2020,2170,397
April,2020,2171,46
April,2020,2173,26
April,2020,2174,28
April,2020,2175,3
April,2020,2176,55
April,2020,2177,23
April,2020,2178,5
April,2020,2179,53
April,2020,2190,33
April,2020,2191,10
April,2020,2192,66
April,2020,2193,69
April,2020,2194,138
April,2020,2195,127
April,2020,2196,104
April,2020,2197,19
April,2020,2198,7
April,2020,2199,32
April,2020,2200,149
April,2020,2203,67
April,2020,2204,94
April,2020,2205,131
April,2020,2206,32
April,2020,2207,38
April,2020,2208,18
April,2020,2209,37
April,2020,2210,69
April,2020,2211,23
April,2020,2212,28
April,2020,2213,35
April,2020,2214,3
April,2020,2216,85
April,2020,2217,108
April,2020,2218,37
April,2020,2219,41
April,2020,2220,159
April,2020,2221,27
April,2020,2222,41
April,2020,2223,39
April,2020,2224,29
April,2020,2225,4
April,2020,2226,13
April,2020,2227,21
April,2020,2228,67
April,2020,2229,76
April,2020,2230,152
April,2020,2231,2
April,2020,2232,63
April,2020,2233,25
April,2020,2234,21
April,2020,2250,228
April,2020,2251,76
April,2020,2256,49
April,2020,2257,104
April,2020,2258,6
April,2020,2259,158
April,2020,2260,86
April,2020,2261,157
April,2020,2262,62
April,2020,2263,92
April,2020,2264,57
April,2020,2265,12
April,2020,2267,7
April,2020,2278,2
April,2020,2280,40
April,2020,2281,35
April,2020,2282,29
April,2020,2283,50
April,2020,2284,31
April,2020,2285,89
April,2020,2286,4
April,2020,2287,127
April,2020,2289,43
April,2020,2290,60
April,2020,2291,43
April,2020,2292,13
April,2020,2293,19
April,2020,2294,15
April,2020,2295,23
April,2020,2296,10
April,2020,2297,9
April,2020,2298,52
April,2020,2299,64
April,2020,2300,110
April,2020,2301,1
April,2020,2302,19
April,2020,2303,46
April,2020,2304,62
April,2020,2305,34
April,2020,2306,10
April,2020,2307,30
April,2020,2312,1
April,2020,2315,50
April,2020,2316,9
April,2020,2317,11
April,2020,2318,26
April,2020,2319,21
April,2020,2320,93
April,2020,2321,53
April,2020,2322,53
April,2020,2323,63
April,2020,2324,59
April,2020,2325,67
April,2020,2326,10
April,2020,2327,15
April,2020,2328,3
April,2020,2329,6
April,2020,2330,57
April,2020,2333,48
April,2020,2334,9
April,2020,2335,26
April,2020,2336,4
April,2020,2337,16
April,2020,2339,2
April,2020,2340,210
April,2020,2341,3
April,2020,2342,1
April,2020,2343,16
April,2020,2346,15
April,2020,2347,6
April,2020,2350,116
April,2020,2352,10
April,2020,2353,1
April,2020,2354,8
April,2020,2357,6
April,2020,2358,5
April,2020,2359,1
April,2020,2360,62
April,2020,2361,1
April,2020,2365,11
April,2020,2369,1
April,2020,2370,28
April,2020,2372,14
April,2020,2380,74
April,2020,2381,1
April,2020,2382,6
April,2020,2390,39
April,2020,2397,1
April,2020,2400,51
April,2020,2402,3
April,2020,2404,4
April,2020,2406,7
April,2020,2409,1
April,2020,2420,11
April,2020,2421,2
April,2020,2422,13
April,2020,2423,4
April,2020,2425,1
April,2020,2426,1
April,2020,2427,10
April,2020,2428,83
April,2020,2429,16
April,2020,2430,111
April,2020,2431,29
April,2020,2439,8
April,2020,2440,64
April,2020,2441,7
April,2020,2443,22
April,2020,2444,211
April,2020,2445,20
April,2020,2446,24
April,2020,2447,11
April,2020,2448,39
April,2020,2449,2
April,2020,2450,155
April,2020,2452,43
April,2020,2453,6
April,2020,2454,9
April,2020,2455,6
April,2020,2456,50
April,2020,2460,85
April,2020,2462,6
April,2020,2463,19
April,2020,2464,44
April,2020,2466,11
April,2020,2469,5
April,2020,2470,35
April,2020,2471,5
April,2020,2472,4
April,2020,2473,19
April,2020,2474,10
April,2020,2476,1
April,2020,2477,23
April,2020,2478,105
